Symbol,Name,Market Cap,Country,IPO Year,Volume,Sector,Industry
A,Agilent Technologies Inc. Common Stock,41092211922,United States,1999,1506028,Industrials,Electrical Products
AA,Alcoa Corporation Common Stock ,6566472264,United States,2016,9910706,Industrials,Aluminum
AACG,ATA Creativity Global American Depositary Shares,27520112,China,2008,19111,Real Estate,Other Consumer Services
AACI,Armada Acquisition Corp. I Common Stock,0,United States,2021,1442,Finance,Blank Checks
AACIW,Armada Acquisition Corp. I Warrant,0,United States,2021,9704,Finance,Blank Checks
AACT,Ares Acquisition Corporation II Class A Ordinary Shares,0,,2023,24185,Finance,Blank Checks
AADI,Aadi Bioscience Inc. Common Stock,46652990,United States,,166038,Health Care,Biotechnology: Pharmaceutical Preparations
AAGR,African Agriculture Holdings Inc. Common Stock,10500219,United States,2021,113123,Finance,Finance: Consumer Services
AAGRW,African Agriculture Holdings Inc. Warrant,374828,United States,2021,7998,Finance,Finance: Consumer Services
AAL,American Airlines Group Inc. Common Stock,8472553199,United States,,27420853,Consumer Discretionary,Air Freight/Delivery Services
AAMC,Altisource Asset Management Corp Com,9260106,United States,,3607,Finance,Real Estate
AAME,Atlantic American Corporation Common Stock,41212622,United States,,9476,Finance,Life Insurance
AAN,Aarons Holdings Company Inc. Common Stock ,215262567,United States,2020,205610,Miscellaneous,Diversified Commercial Services
AAOI,Applied Optoelectronics Inc. Common Stock,428522629,United States,2013,1301625,Technology,Semiconductors
AAON,AAON Inc. Common Stock,7109027508,United States,,470476,Industrials,Industrial Machinery/Components
AAP,Advance Auto Parts Inc.,4173337023,United States,,1402544,Consumer Discretionary,Auto & Home Supply Stores
AAPL,Apple Inc. Common Stock,2.66666E+12,United States,1980,73454318,Technology,Computer Manufacturing
AAT,American Assets Trust Inc. Common Stock,1250190487,United States,2011,202173,Real Estate,Real Estate Investment Trusts
AB,AllianceBernstein Holding L.P.  Units,3712492875,United States,,315469,Finance,Investment Managers
ABAT,American Battery Technology Company Common Stock,83534739,United States,,626150,Basic Materials,Metal Mining
ABBV,AbbVie Inc. Common Stock,2.85586E+11,United States,2012,5433608,Health Care,Biotechnology: Pharmaceutical Preparations
ABCB,Ameris Bancorp Common Stock,3109809023,United States,1994,251889,Finance,Major Banks
ABCL,AbCellera Biologics Inc. Common Shares,1209507524,Canada,2020,1358936,Health Care,Biotechnology: Pharmaceutical Preparations
ABEO,Abeona Therapeutics Inc. Common Stock,208992483,United States,,113658,Health Care,Biotechnology: Pharmaceutical Preparations
ABEV,Ambev S.A. American Depositary Shares (Each representing 1 Common Share),36548893219,Brazil,2013,15960838,Consumer Staples,Beverages (Production/Distribution)
ABG,Asbury Automotive Group Inc Common Stock,4389334510,United States,2002,182151,Consumer Discretionary,Retail-Auto Dealers and Gas Stations
ABIO,ARCA biopharma Inc. Common Stock,46113635,United States,,134500,Health Care,Biotechnology: In Vitro & In Vivo Diagnostic Substances
ABL,Abacus Life Inc. Class A Common Stock,757967620,United States,2020,13600,Finance,Investment Managers
ABLLL,Abacus Life Inc. 9.875% Fixed Rate Senior Notes due 2028,1621031591,United States,,220,,
ABLLW,Abacus Life Inc. Warrant,31210431,United States,2020,38537,Finance,Investment Managers
ABLV,Able View Global Inc. Class B Ordinary Shares,79635358,China,,93391,,
ABM,ABM Industries Incorporated Common Stock,2813939379,United States,,689863,Finance,Diversified Commercial Services
ABNB,Airbnb Inc. Class A Common Stock,1.00683E+11,United States,2020,3722052,Consumer Discretionary,Hotels/Resorts
ABOS,Acumen Pharmaceuticals Inc. Common Stock,212081616,United States,2021,214986,Health Care,Biotechnology: Pharmaceutical Preparations
ABR,Arbor Realty Trust Common Stock,2295994116,United States,2004,3705241,Real Estate,Real Estate Investment Trusts
ABR^D,Arbor Realty Trust 6.375% Series D Cumulative Redeemable Preferred Stock Liquidation Preference $25.00 per Share,,United States,,33895,,
ABR^E,Arbor Realty Trust 6.25% Series E Cumulative Redeemable Preferred Stock,,United States,,7766,,
ABR^F,Arbor Realty Trust 6.25% Series F Fixed-to-Floating Rate Cumulative Redeemable Preferred Stock Liquidation Preference $25.00 per share,,United States,,26888,,
ABSI,Absci Corporation Common Stock,612420248,United States,2021,1417213,Health Care,Biotechnology: Pharmaceutical Preparations
ABT,Abbott Laboratories Common Stock,1.88944E+11,United States,,4595092,Health Care,Medical/Dental Instruments
ABTS,Abits Group Inc Ordinary Shares,15279808,China,,478007,Technology,Computer Software: Programming Data Processing
ABUS,Arbutus Biopharma Corporation Common Stock,533091831,Canada,,3625999,Health Care,Biotechnology: Pharmaceutical Preparations
ABVC,ABVC BioPharma Inc. Common Stock,11510859,United States,,218105,Health Care,Biotechnology: Pharmaceutical Preparations
ABVX,Abivax SA American Depositary Shares,925220308,France,2023,41744,,
AC,Associated Capital Group Inc. Common Stock,692510131,United States,2015,1287,Finance,Investment Bankers/Brokers/Service
ACA,Arcosa Inc. Common Stock ,3899065381,United States,2018,118301,Industrials,Metal Fabrications
ACAB,Atlantic Coastal Acquisition Corp. II Class A Common Stock,0,United States,2022,5208,Finance,Blank Checks
ACAC,Acri Capital Acquisition Corporation Class A Common Stock,0,United States,2022,2332,Finance,Blank Checks
ACACU,Acri Capital Acquisition Corporation Unit,0,United States,2022,100,Finance,Blank Checks
ACACW,Acri Capital Acquisition Corporation Warrant,0,United States,2022,2593,Finance,Blank Checks
ACAD,ACADIA Pharmaceuticals Inc. Common Stock,2782990990,United States,1985,1112106,Health Care,Biotechnology: Pharmaceutical Preparations
ACB,Aurora Cannabis Inc. Common Shares,342507281,Canada,,6933370,Health Care,Pharmaceuticals and Biotechnology
ACBA,Ace Global Business Acquisition Limited Ordinary Shares,46042996,Hong Kong,2021,626,Consumer Discretionary,Catalog/Specialty Distribution
ACBAW,Ace Global Business Acquisition Limited Warrant,0,Hong Kong,2021,25598,Consumer Discretionary,Business Services
ACCD,Accolade Inc. Common Stock,664157268,United States,2020,813882,Consumer Discretionary,Business Services
ACCO,Acco Brands Corporation Common Stock,476540166,United States,,519908,Consumer Discretionary,Publishing
ACDC,ProFrac Holding Corp. Class A Common Stock,1354954690,United States,2022,1032870,Energy,Oilfield Services/Equipment
